institution_id;institution_name;search_result_name;institution_geolocation;dist (m);source
1187;Umee Universitet;Umevägen;63.915515, 19.805889;;Mapbox
1198;Gifford and Partners Ltd.;Ringwood Road;50.91741, -1.498283;;Mapbox
1202;Cork Regional Technical College;Rossa Avenue;51.88164, -8.530438;;Mapbox
1233;MRC Cell Mutation Unit;Falmer Road;50.827066, -0.07109;;Mapbox
1250;14th Ephorate of Prehistoricand Classical Antiquities;351 00;38.901741, 22.433061;;Mapbox
1267;Instituto de Tecnnología Biológica;Canadá 530;-29.169076, -59.64616;;Mapbox
1270;Sanofi Recherche;371 Rue Du Professeur Joseph Nicolas;45.730415, 4.878832;;Mapbox
1282;IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer;Taravao;-17.725707, -149.313466;;Mapbox
1283;Universidad Autonoma de Nuevo Leon;San Nicolás de los Garza;25.755411, -100.292755;;Mapbox
1301;Energo Group SA;Elliotsville Road;39.31468, -82.12931;;Mapbox
1302;Public Power Corporation of Greece;Public Power Corporation (Greece);37.98376, 23.72784;;OpenAlexNormalized
1307;Aegean Metallurgical Industries SA;1 Street;-31.339224, 27.849757;;Mapbox
1326;INSTITUTO ESPAÑOL DE OCEANOGRAFIA;Camiño Cabo;42.240329, -8.642436;;Mapbox
1337;Associazione Progetto Europa Salute;Via Xxv Aprile;44.372075, 9.102192;;Mapbox
1343;Projects TDS Srl;Strada 1;45.402, 9.151658;;Mapbox
1356;Audiovisual Eureka;1050;50.836265, 4.365757;;Mapbox
1366;University of Thessalia;383 33;39.362799, 22.941969;;Mapbox
1382;UNIVERSITA DEGLI STUDI DI SASSARI;Piazza Università 21;40.724999, 8.559905;;Mapbox
1391;ARISTOTLEAN UNIVERSITY OF THESSALONIKI;Eleftherios Venizelos Str. 06;40.635539, 22.940438;;Mapbox
1454;PROTOSEMENCES;Route De Carles;43.879756, 1.473611;;Mapbox
1460;HOOGOVENS Ijmuiden B.V.;Ven 3d;51.51931, 5.750069;;Mapbox
1488;MRC Radiobiology Unit;OX11 0RD;51.575331, -1.319734;;Mapbox
1511;Tecnopolis Csata Novus Ortus Scrl;70010;41.045823, 16.884025;;Mapbox
1531;Turkmenistan State University;Asjkhabad;37.940465, 58.382349;;Mapbox
1572;Baikal International Center for Ecological Research;664033;52.24279, 104.27219;;Mapbox
1577;INSTITUTO DE BIOLOGIA EXPERIMENTAL E TECNOLOGIA;R Eiras 12;39.353892, -7.958373;;Mapbox
1596;Società Italiana Miniere SpA;Via Cagliari;39.313484, 8.535167;;Mapbox
1601;Agricultural Research Council of Norway;NO;61.248333, 8.804821;;Mapbox
1604;Lacto-Labo;Route De Buxières;46.947282, 0.606109;;Mapbox
1619;Extrude Hone Ltd;6 Brick Close;52.042993, -0.818843;;Mapbox
1622;Ommp di Molgora Pierluigi;Via Roma;45.654035, 9.375385;;Mapbox
1623;FOUNDATION OF RESEARCH AND TECHNOLOGY - HELLAS;Mouton Dr;30.47972, -92.71823;;Mapbox
1626;ISTITUTO ZOOTECNICO E CASEARIO PER LA SARDEGNA;Via Sassari;40.573027, 8.697335;;Mapbox
1630;INSTITUTO NACIONAL DE INVESTIGACION Y TECNOLOGIA AGRARIA Y ALIMENTARIA;Av Carrera De La;40.404766, -3.79752;;Mapbox
1666;AFOCEL;Rue De L'étançon;47.708103, 6.64361;;Mapbox
1677;Centre National du Machinisme Agricole, du Génie Rural, des Eaux et des Forêts;Nogent-sur-Vernisson;47.846832, 2.74161;;Mapbox
1706;Ecole Polytechnique Fédérale de Lausanne;Chemin Des Côtes-De-La-Bourdonnette;46.527114, 6.590273;;Mapbox
1708;Hellenic Centre for European Studies;Elliotsville Road;39.31468, -82.12931;;Mapbox
1744;UNIVERSITE LIBRE DE BRUXELLES;Rue Erasme;50.837974, 4.30681;;Mapbox
1755;Instituut voor Scheikundig Onderzoek;Beulbosweg;50.829637, 4.569031;;Mapbox
1773;Universidad de Malaga;D;36.489535, -4.742592;;Mapbox
1778;Riso National Laboratory;4000;55.641095, 12.081609;;Mapbox
1797;UNIVERSIT DEGLI STUDI DI PALERMO;Viale Delle Scienze;38.103375, 13.348227;;Mapbox
1798;Universita degli Studi di Palermo;Viale Delle Scienze;38.103375, 13.348227;;Mapbox
1800;INSTITUTO SUPERIOR DE AGRONOMIA;Tapada Da Ajuda;38.716292, -9.18968;;Mapbox
1809;Hedeselskabet - Danish Land Development Service;8882;56.267169, 9.731126;;Mapbox
1820;PHILIPS GMBH TELEKOM. & DATA SYSTEMS-ISA;Eindhoven;51.43773, 5.480267;;Mapbox
1823;Tecnopolis Csata Novus Ortus;Strada Comunale Per Casamassima;40.920193, 17.001983;;Mapbox
1827;MULTIMEDIA CENTER OF CRETE;Chanéa 134;46.799872, 7.025892;;Mapbox
1846;INSTITUT NATIONAL DE RECHERCHES EN GENIE RURAL, EAUX ET FORETS;Ariana;36.858735, 10.188232;;Mapbox
1976;UNIVERSITA' DEGLI STUDI DI TRENTO;Trento;46.068256, 11.123489;;Mapbox
1915;LAKE COMMUNICATIONS;Greenhills Road;53.296807, -6.347849;;Mapbox
1932;SIEMENS AG;Siemens (Germany);48.13743, 11.57549;;OpenAlexNormalized
1940;Siemens AG;Siemens (Germany);48.13743, 11.57549;;OpenAlexNormalized
1996;MicroPix Technologies Ltd;St. Davids Business Park;56.0407, -3.36488;;Mapbox
2024;Deutsches Zentrum für Handwerk und Denkmalpflege, Propstei Johannesberg, Fulda e.V.;An Den Eichen;50.582077, 9.648915;;Mapbox
2037;WESTFAELISCHE WILHELMS - UNIVERSITAET MUENSTER;Von-Esmarch-Straße 56;51.966792, 7.592409;;Mapbox
2044;Alenia Marconi Systems;Park;57.477975, -6.335755;;Mapbox
2065;Kernforschungsanlage Jülich GmbH;Jülich;50.921734, 6.358342;;Mapbox
2082;The Ukrainian Psychiatric Association;Kiev;50.450034, 30.524136;;Mapbox
2088;ITALIAN AGENCY FOR NEW TECHNOLOGY, ENERGY AND THE ENVIRONMENT;Via Santa Teresa;44.086387, 9.886257;;Mapbox
2175;Multimedia Center Sa;Sur;46.52217, 9.631014;;Mapbox
2128;LEVEL-7 LIMITED;Level 7 Systems (United Kingdom);51.50853, -0.12574;;OpenAlexNormalized
2138;EURITIS;Chemin De Château-Gombert;43.345176, 5.423858;;Mapbox
2148;Intrasoft Sa;INTRASOFT International (Luxembourg);49.61167, 6.13;;OpenAlexNormalized
2154;Micronics Telesystems Limited;8 Bakery Street;51.496473, -0.075216;;Mapbox
2166;ANSA Architecture Projects Management Ltd;Park Road;52.273919, 0.323545;;Mapbox
2168;FT Healthcare and Cartermill International Ltd;North Haugh;56.340628, -2.812609;;Mapbox
2179;Vasari;2 Kings Road;51.2847, -0.83722;;Mapbox
2183;N/A;A. N. Nesmeyanov Institute of Organoelement Compounds;55.75222, 37.61556;;OpenAlexNormalized
2191;UNIVERSITE DE LA ROCHELLE;15 Rue François De Vaux De Foletier;46.141803, -1.151899;;Mapbox
2244;Umwelt-Campus Birkenfeld Entwicklungs- und Management GmbH.;Am Hasselt;49.605138, 7.165985;;Mapbox
2259;BRITISH AEROSPACE AIRBUS LTD.;New Lane;51.592287, -2.51859;;Mapbox
2264;Aerospatiale;Toulouse;43.60372, 1.445711;;Mapbox
2270;COMUNE DI ROMA;Via Del Campidoglio 1;41.892694, 12.48334;;Mapbox
2285;LIMBURGS UNIVERSITAIR CENTRUM / STUDIECENTRUM VOOR MULTIMEDIAAL EN INTERACTIEF LEREN;3590;50.90776, 5.419691;;Mapbox
2290;Hospital de Sta. Maria;Avenida Duque De Loulé 75;38.70596, -9.239981;;Mapbox
2320;TRANS EUROPEAN RURAL NETWORK;Nørvad 4;56.759996, 9.768809;;Mapbox
2523;FEGS Ltd;Oakington Road;52.282774, 0.116223;;Mapbox
2323;CENTRE NATIONAL D'ENSEIGNEMENT A DISTANCE;Avenue D;48.761298, 2.371184;;Mapbox
2329;STADT TORGAU;Markt 1;51.558426, 13.003805;;Mapbox
2334;METEO-FRANCE;Quai Branly;48.861918, 2.298781;;Mapbox
2335;Philips Nederland BV;Eindhoven;51.43773, 5.480267;;Mapbox
2347;ADVANCED SERVICES GROUP LTD.;Elin Pelin;42.66905, 23.601936;;Mapbox
2371;Hellenic Republic of Industry,Energy and Technology General Secretariat;10;17.04483, -96.692948;;Mapbox
2376;Skanska Ab;Skanska (Sweden);59.32938, 18.06871;;OpenAlexNormalized
2379;Det Norske Veritas Research;Veritasveien 1;59.888828, 10.56266;;Mapbox
2386;D'APPOLONIA SPA;D'Appolonia (Italy);44.40478, 8.94439;;OpenAlexNormalized
2408;INTERDISCIPLINARY CENTRE FOR COMPARATIVE RESEARCH IN THE SOCIAL SCIENCES;Schottenfeldgasse;48.202336, 16.343196;;Mapbox
2492;The Baikalsk Institute of Toxicology;Baikalsk;51.516586, 104.140205;;Mapbox
2493;Institute of Soil Science and Photosynthesis;Moscow;55.750446, 37.617494;;Mapbox
2494;The Hellenic Institute of Holography;152 34;38.020926, 23.801945;;Mapbox
2505;Katholieke Universiteit Brabant;Tilburg;51.556557, 5.087695;;Mapbox
2517;Instituto Catala de Telematica Aplicada;Cl Valencia;41.365968, 2.070601;;Mapbox
2545;HELLENIC AEROSPACE INDUSTRY LTD;Hellenic Aerospace Industry (Greece);37.98376, 23.72784;;OpenAlexNormalized
2577;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Rivadavia;-34.882158, -58.029028;;Mapbox
2578;FLANDERS INTERUNIVERSITY INSTITUTE FOR BIOTECHNOLOGY VZW;Ledeganckstraat 35;51.03607, 3.723753;;Mapbox
2594;De Montford University;The Gateway;52.629724, -1.139003;;Mapbox
2609;AVGI;Elliotsville Road;39.31468, -82.12931;;Mapbox
2628;SENA SA;National Training Service;5.53528, -73.36778;;OpenAlexNormalized
2637;UNIVERSITAET OSNABRUECK;Pascalstraße 100;53.741309, 9.931963;;Mapbox
2652;AGÊNCIA DE INOVAÇÀO S.A.;Avenida Dos Combatentes;38.772571, -9.354721;;Mapbox
2663;Kungl Teckniska Hoegskolan;Stockholm;59.324337, 18.06902;;Mapbox
2771;ITFF;Rennes;48.113247, -1.681558;;Mapbox
2673;Commissariat a l'Energie Atomique;Route De Saint-Paul-Lez-Durance;43.632686, 5.766298;;Mapbox
2675;KULeuven;Begijnhofkerkstraat;50.871199, 4.697001;;Mapbox
2684;National and Kapodestrian University of Athens;11527 Eldred Avenue;44.979062, -90.18031;;Mapbox
2689;Central Research Institute for Fisheries;Jawa Barat;-6.934469, 107.604954;;Mapbox
2690;Cantho University;92000;9.717794, 105.167186;;Mapbox
2694;Mines and Geosciences Bureau;4031;14.169863, 121.244076;;Mapbox
2695;Pusat Penelitian dan Pengembangan Biologi - R & D Center for Biology;Bogor;-6.608808, 106.80683;;Mapbox
2696;Lembaga Alam Tropika Indonesia;Bogor;-6.608808, 106.80683;;Mapbox
2702;Medical Uinversity of Southern Africa;0204;-25.619459, 28.011546;;Mapbox
2712;Silicon Graphics AGI;Erlensträsschen 65;47.585151, 7.645332;;Mapbox
2721;PARCO SCIENTIFICO E TECNOLOGICO AREA IONICO SALENTINA - CENTRO NAZIONALE PER LA RICERCA E LO SVILUPPO DEI MATERIALI SCPA;Via Santi 5;40.638164, 17.944942;;Mapbox
2731;Agricultural University of Norway;Nordsida 1432;63.003147, 8.976991;;Mapbox
2739;Instituto Espanol de Oceanografia;Puerto Pesquero - Muelle De Levante;36.52997, -6.284001;;Mapbox
2758;I.L.S.I. - INTERNATIONAL LIFE SCIENCE INSTITUTE EUROPE;1200;50.842981, 4.424353;;Mapbox
2761;NETHERLANDS INSTITUTE FOR FISHERIES RESEARCH;Haringkade 1;52.45725, 4.593372;;Mapbox
2763;THE MINISTER OF AGRICULTURE, FISHERIES AND FOOD;YO41 1LZ;54.0163, -0.972903;;Mapbox
2773;TEAGASC - THE NATIONAL FOOD CENTRE;Dunsinea Lane;53.379584, -6.334912;;Mapbox
2776;UNIVERSIDADE DE COIMBRA - CENTRO DE NEUROCIENCIAS DE COIMBRA;Rua Santo De Compostela 3000;40.220826, -8.436709;;Mapbox
2788;Nippon Telegraph and Telephone Corporation;NTT (Japan);35.6895, 139.69171;;OpenAlexNormalized
2795;Rutherford Appleton Laboratory (RAL);Chilton Road;51.578646, -1.266095;;Mapbox
2798;Philips SpA;Philips (Netherlands);52.37403, 4.88969;;OpenAlexNormalized
2839;National Defence Research Establishment;Umeå;63.825768, 20.2635;;Mapbox
2855;Institut Européen des Sciences Humaines;Route De Saint-Léger-De-Fougeret;47.044296, 3.876121;;Mapbox
2859;UNIVERSITY OF EGE;Üniversite Caddesi;38.45001, 27.19351;;Mapbox
2860;University College of Wales Aberystwyth;SY23 3DA;52.415636, -4.066469;;Mapbox
2861;Sichuan Union University;Chengdu;30.659126, 104.07872;;Mapbox
2866;Philippine Nuclear Research Institute;Commonwealth Avenue;14.706566, 121.06739;;Mapbox
2868;Institute of Microbiology - BulgarianAcademy of Sciences;Bd. Todor Aleksandrov 1113;42.699892, 23.309933;;Mapbox
2873;ALGOSYSTEMS SA;Algosystems (Greece);37.98376, 23.72784;;OpenAlexNormalized
2874;FUNDACION CENTRO DE ESTUDIOS AMBIENTALES DEL MEDITERRANEO;Carrer De Charles Robert Darwin 14;39.551411, -0.461873;;Mapbox
